investor_id,sip_count,average_gap_days,is_at_risk
INV000004,6,85.4,1
INV000008,6,70.4,1
INV000010,6,64.8,1
INV000011,7,40.166666666666664,1
INV000012,8,57.0,1
INV000013,7,55.333333333333336,1
INV000014,7,75.33333333333333,1
INV000023,8,58.57142857142857,1
INV000028,6,93.6,1
INV000029,7,60.666666666666664,1
INV000030,9,47.625,1
INV000033,8,45.57142857142857,1
INV000039,6,68.6,1
INV000045,6,70.6,1
INV000048,9,46.0,1
INV000052,6,36.2,1
INV000056,6,74.8,1
INV000057,8,49.714285714285715,1
INV000069,10,49.111111111111114,1
INV000072,6,83.0,1
INV000073,9,48.25,1
INV000074,8,72.57142857142857,1
INV000075,6,74.8,1
INV000076,6,91.8,1
INV000079,6,65.8,1
INV000081,7,81.33333333333333,1
INV000082,7,83.66666666666667,1
INV000086,10,44.666666666666664,1
INV000087,6,92.8,1
INV000091,8,44.0,1
INV000093,7,55.5,1
INV000094,6,44.8,1
INV000095,6,69.4,1
INV000097,7,54.5,1
INV000101,8,65.0,1
INV000102,8,65.28571428571429,1
INV000103,6,83.4,1
INV000105,8,57.0,1
INV000109,9,46.25,1
INV000113,8,46.0,1
INV000123,7,59.666666666666664,1
INV000128,6,82.0,1
INV000131,7,56.0,1
INV000132,6,71.0,1
INV000133,6,88.2,1
INV000138,6,76.2,1
INV000145,6,89.4,1
INV000146,6,66.8,1
INV000148,9,52.0,1
INV000155,7,37.333333333333336,1
INV000161,7,73.0,1
INV000163,8,61.0,1
INV000164,6,61.8,1
INV000169,7,67.83333333333333,1
INV000173,7,57.666666666666664,1
INV000175,7,83.66666666666667,1
INV000177,8,65.42857142857143,1
INV000180,6,61.8,1
INV000183,9,56.125,1
INV000191,7,56.5,1
INV000194,7,58.0,1
INV000195,6,77.4,1
INV000196,7,69.0,1
INV000201,9,51.125,1
INV000205,8,62.57142857142857,1
INV000210,8,70.71428571428571,1
INV000214,6,94.8,1
INV000217,6,92.0,1
INV000228,9,59.75,1
INV000236,8,67.14285714285714,1
INV000238,6,93.6,1
INV000239,8,48.857142857142854,1
INV000243,6,88.2,1
INV000245,6,92.2,1
INV000249,7,45.5,1
INV000252,6,50.4,1
INV000255,6,48.6,1
INV000256,6,70.2,1
INV000259,6,70.6,1
INV000260,8,59.57142857142857,1
INV000262,8,53.57142857142857,1
INV000263,8,68.42857142857143,1
INV000265,10,53.44444444444444,1
INV000268,7,62.333333333333336,1
INV000279,9,43.375,1
INV000280,9,55.75,1
INV000283,6,68.0,1
INV000287,7,69.83333333333333,1
INV000289,8,62.714285714285715,1
INV000291,6,89.0,1
INV000292,7,46.0,1
INV000293,7,47.0,1
INV000297,6,90.6,1
INV000299,6,85.2,1
INV000304,7,70.0,1
INV000309,8,52.0,1
INV000310,7,75.83333333333333,1
INV000318,6,97.4,1
INV000319,7,73.5,1
INV000321,7,72.83333333333333,1
INV000328,9,37.5,1
INV000331,8,50.714285714285715,1
INV000334,7,25.5,0
INV000335,6,96.0,1
INV000339,6,94.0,1
INV000341,8,54.42857142857143,1
INV000356,6,54.4,1
INV000359,9,54.125,1
INV000363,7,77.0,1
INV000369,6,43.8,1
INV000371,8,59.285714285714285,1
INV000372,7,54.5,1
INV000380,6,97.0,1
INV000388,9,53.625,1
INV000392,7,77.16666666666667,1
INV000395,7,55.666666666666664,1
INV000396,6,83.2,1
INV000399,10,49.55555555555556,1
INV000400,6,62.6,1
INV000403,6,58.2,1
INV000407,6,82.4,1
INV000408,6,46.8,1
INV000412,8,43.714285714285715,1
INV000414,8,66.28571428571429,1
INV000415,7,66.16666666666667,1
INV000418,6,86.8,1
INV000427,7,68.5,1
INV000428,8,52.142857142857146,1
INV000429,6,77.2,1
INV000437,6,97.8,1
INV000440,8,69.57142857142857,1
INV000441,6,60.8,1
INV000444,6,73.2,1
INV000445,9,57.75,1
INV000446,6,38.6,1
INV000449,6,46.8,1
INV000452,9,49.375,1
INV000457,6,91.4,1
INV000460,6,43.4,1
INV000463,7,65.16666666666667,1
INV000466,7,73.33333333333333,1
INV000467,10,56.666666666666664,1
INV000469,7,70.5,1
INV000483,8,70.42857142857143,1
INV000491,6,95.0,1
INV000493,10,47.55555555555556,1
INV000497,7,71.83333333333333,1
INV000499,7,77.83333333333333,1
INV000507,7,70.16666666666667,1
INV000512,9,54.75,1
INV000522,6,100.8,1
INV000524,7,55.0,1
INV000527,6,50.8,1
INV000529,6,59.2,1
INV000531,7,47.0,1
INV000539,7,77.0,1
INV000540,7,73.5,1
INV000543,7,83.66666666666667,1
INV000545,6,80.6,1
INV000546,9,55.0,1
INV000547,6,55.8,1
INV000549,6,96.2,1
INV000553,6,72.0,1
INV000554,6,70.2,1
INV000556,8,52.42857142857143,1
INV000562,6,74.4,1
INV000563,7,76.33333333333333,1
INV000566,7,35.0,0
INV000567,6,63.8,1
INV000568,6,62.4,1
INV000570,8,67.28571428571429,1
INV000573,7,50.833333333333336,1
INV000575,6,71.6,1
INV000578,7,66.83333333333333,1
INV000581,7,78.33333333333333,1
INV000586,7,44.5,1
INV000589,9,59.125,1
INV000591,7,64.5,1
INV000593,6,74.2,1
INV000596,9,51.75,1
INV000597,6,88.6,1
INV000599,7,81.5,1
INV000607,7,66.66666666666667,1
INV000608,6,100.2,1
INV000609,6,47.0,1
INV000612,11,49.3,1
INV000615,7,55.833333333333336,1
INV000624,7,31.666666666666668,0
INV000625,6,86.4,1
INV000630,7,68.66666666666667,1
INV000631,6,54.0,1
INV000634,9,52.25,1
INV000635,6,75.0,1
INV000641,6,54.8,1
INV000642,9,53.5,1
INV000645,6,66.0,1
INV000646,7,62.333333333333336,1
INV000651,6,94.0,1
INV000652,6,93.8,1
INV000657,8,64.71428571428571,1
INV000662,8,66.14285714285714,1
INV000663,6,94.4,1
INV000665,10,36.22222222222222,1
INV000667,6,68.0,1
INV000673,6,92.8,1
INV000675,6,62.8,1
INV000676,11,35.3,1
INV000678,7,63.333333333333336,1
INV000683,9,54.5,1
INV000690,8,56.285714285714285,1
INV000691,6,66.4,1
INV000698,9,52.25,1
INV000699,6,42.8,1
INV000701,7,83.66666666666667,1
INV000707,9,34.375,0
INV000709,7,65.16666666666667,1
INV000710,6,88.6,1
INV000714,9,37.0,1
INV000718,7,57.833333333333336,1
INV000719,7,72.83333333333333,1
INV000724,6,81.2,1
INV000725,7,67.66666666666667,1
INV000734,8,64.0,1
INV000737,6,92.6,1
INV000747,6,84.6,1
INV000750,9,26.5,0
INV000751,9,53.0,1
INV000754,7,72.33333333333333,1
INV000759,7,83.0,1
INV000761,7,75.16666666666667,1
INV000768,8,60.0,1
INV000772,6,46.0,1
INV000774,7,73.66666666666667,1
INV000776,8,59.42857142857143,1
INV000777,6,66.0,1
INV000778,8,59.714285714285715,1
INV000779,6,75.0,1
INV000783,6,89.8,1
INV000785,6,32.6,0
INV000786,9,64.125,1
INV000789,8,55.142857142857146,1
INV000793,8,69.14285714285714,1
INV000803,7,77.16666666666667,1
INV000814,6,94.0,1
INV000822,7,55.5,1
INV000823,7,39.666666666666664,1
INV000827,8,58.285714285714285,1
INV000830,6,72.2,1
INV000833,8,67.28571428571429,1
INV000836,6,84.8,1
INV000843,6,55.6,1
INV000844,7,66.16666666666667,1
INV000847,6,47.8,1
INV000853,10,49.333333333333336,1
INV000854,9,61.25,1
INV000858,9,44.875,1
INV000862,6,91.2,1
INV000864,6,40.8,1
INV000865,9,45.75,1
INV000869,6,65.4,1
INV000873,7,73.5,1
INV000874,9,62.125,1
INV000877,6,59.4,1
INV000881,10,46.111111111111114,1
INV000887,7,65.66666666666667,1
INV000888,7,80.33333333333333,1
INV000893,7,59.5,1
INV000894,6,55.0,1
INV000901,6,54.0,1
INV000907,6,59.2,1
INV000920,6,75.6,1
